gtbboxid,classid,imageid,lx,rx,ty,by,difficult,split
0,1,0,0.5633,0.9836,0.2898,0.7352,0,train
1,2,0,0.1246,0.9988,0.3129,0.9980,0,train
2,3,1,0.0000,0.0922,0.3727,0.6742,0,train
3,4,1,0.0914,0.9977,0.2395,0.7230,0,train
4,5,2,0.0000,0.9984,0.0000,0.9984,0,train
5,6,3,0.0000,0.9984,0.0609,0.7547,0,train
6,7,4,0.0719,0.4719,0.0004,0.8637,0,train
7,8,4,0.4063,0.9750,0.0898,0.8023,0,train
8,9,5,0.0000,0.9984,0.0000,0.9984,0,train
9,10,6,0.1992,0.2648,0.3641,0.4281,0,train
10,11,6,0.2551,0.5605,0.3016,0.6297,0,train
11,12,7,0.6129,0.9996,0.2008,0.5508,0,train
12,13,8,0.3977,0.7070,0.1293,0.3457,0,train
13,14,9,0.0199,0.3988,0.4633,0.7867,0,train
14,15,9,0.3375,0.5344,0.5109,0.7625,0,train
15,16,9,0.5320,0.5711,0.6469,0.7406,0,train
16,17,9,0.5656,0.6250,0.6270,0.7605,0,train
17,18,9,0.6805,0.7633,0.6328,0.7391,0,train
18,19,10,0.0520,0.9465,0.0438,0.9984,0,train
19,20,11,0.0000,0.8422,0.2773,0.7289,0,train
20,21,11,0.8359,0.8953,0.5566,0.6637,0,train
21,22,11,0.9066,0.9465,0.5172,0.6047,0,train
22,23,11,0.9355,0.9988,0.4746,0.6254,0,train
23,24,11,0.9566,0.9996,0.5773,0.6383,0,train
24,25,12,0.1223,0.7668,0.1172,0.9141,0,train
25,26,13,0.0004,0.4652,0.0000,0.8484,0,train
26,27,13,0.4633,0.5586,0.2953,0.5453,0,train
27,28,13,0.5582,0.6918,0.2926,0.5465,0,train
28,29,13,0.6555,0.9977,0.0086,0.5617,0,train
29,30,13,0.7500,0.9984,0.3477,0.7102,0,train
30,31,14,0.2230,0.9770,0.1227,0.7727,0,train
31,32,14,0.9500,1.0000,0.3293,0.7285,0,train
32,33,15,0.3176,0.9996,0.0000,1.0000,0,train
33,34,16,0.0395,0.9527,0.0816,0.9996,0,train
34,35,17,0.0000,0.3500,0.3086,0.5164,0,train
35,36,17,0.3316,0.9996,0.0004,0.7043,0,train
36,37,18,0.0555,0.9320,0.1434,0.8004,0,train
37,38,19,0.0434,0.1832,0.2215,0.9066,0,train
38,39,19,0.1832,0.3199,0.1820,0.8992,0,train
39,40,19,0.3199,0.4754,0.1328,0.9000,0,train
40,41,19,0.4484,0.6734,0.1688,0.9172,0,train
41,42,19,0.6555,0.9992,0.0004,0.9418,0,train
42,43,20,0.0016,0.3234,0.1641,0.3984,0,train
43,44,20,0.3453,0.5953,0.1754,0.3637,0,train
44,45,20,0.6352,0.8008,0.1750,0.3453,0,train
45,46,20,0.8008,0.9789,0.1859,0.3781,0,train
46,47,21,0.0000,0.3359,0.0000,0.3312,0,train
47,48,21,0.0000,0.9984,0.0000,0.6719,0,train
48,49,21,0.3402,0.8207,0.0000,0.5297,0,train
49,50,21,0.7859,0.9984,0.3766,0.5984,0,train
50,51,22,0.0000,0.7438,0.1328,0.8219,0,train
51,52,23,0.0000,0.9984,0.0000,0.9984,0,train
52,53,24,0.0000,0.0656,0.3844,0.5828,0,train
53,54,24,0.0004,0.3449,0.2910,0.7215,0,train
54,55,24,0.3781,0.8906,0.3184,0.7410,0,train
55,56,24,0.8430,0.9992,0.2500,0.8156,0,train
